db_name,controller_id,side,trading_pair,order_type,trade_type,cumulative_fee_paid_quote,position_action,timestamp,price,base_amount,quote_amount,position_multiplier
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.000738,CLOSE,1741766733,0.738,2.0,1.476,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00132462,OPEN,1741766757,0.7359,9.0,6.6231,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0033237,CLOSE,1741766911,0.7386,9.0,6.6474,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032706,OPEN,1741749606,0.7268,9.0,6.5412,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0033345,CLOSE,1741767101,0.741,9.0,6.669,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032697,OPEN,1741749612,0.7266,9.0,6.5394,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.003348,CLOSE,1741767137,0.744,9.0,6.696,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130734,OPEN,1741749622,0.7263,9.0,6.5367,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0033588,CLOSE,1741767156,0.7464,9.0,6.7176,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0013068,OPEN,1741749636,0.726,9.0,6.534,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0033687,CLOSE,1741767178,0.7486,9.0,6.7374,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032724,OPEN,1741749708,0.7272,9.0,6.5448,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.003267,OPEN,1741749638,0.726,9.0,6.534,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130878,OPEN,1741749661,0.7271,9.0,6.5439,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032733,OPEN,1741749701,0.7274,9.0,6.5466,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130914,OPEN,1741749702,0.7273,9.0,6.5457,1
